,iso_code,region_group,income_group,country,year,Wealth,comp_lowsec_1524_m,comp_lowsec_1524_m_prop_of_total
492,AFG,Central and Southern Asia,Low income countries,Afghanistan,2015.0,Quintile 1,0.2164,0.04328
493,AFG,Central and Southern Asia,Low income countries,Afghanistan,2015.0,Quintile 2,0.2322,0.046439999999999995
494,AFG,Central and Southern Asia,Low income countries,Afghanistan,2015.0,Quintile 3,0.2374,0.04748
495,AFG,Central and Southern Asia,Low income countries,Afghanistan,2015.0,Quintile 4,0.3464,0.06928
496,AFG,Central and Southern Asia,Low income countries,Afghanistan,2015.0,Quintile 5,0.5456,0.10912
1149,AGO,Sub-Saharan Africa,Lower middle income countries,Angola,2015.0,Quintile 1,0.046,0.0092
1150,AGO,Sub-Saharan Africa,Lower middle income countries,Angola,2015.0,Quintile 2,0.0856,0.01712
1151,AGO,Sub-Saharan Africa,Lower middle income countries,Angola,2015.0,Quintile 3,0.2372,0.047439999999999996
1152,AGO,Sub-Saharan Africa,Lower middle income countries,Angola,2015.0,Quintile 4,0.4452,0.08904
1153,AGO,Sub-Saharan Africa,Lower middle income countries,Angola,2015.0,Quintile 5,0.7164,0.14328000000000002
20049,BRB,Latin America and the Caribbean,High income countries,Barbados,2012.0,Quintile 1,0.983,0.1966
20050,BRB,Latin America and the Caribbean,High income countries,Barbados,2012.0,Quintile 2,0.9929,0.19858
20051,BRB,Latin America and the Caribbean,High income countries,Barbados,2012.0,Quintile 3,1.0,0.2
20052,BRB,Latin America and the Caribbean,High income countries,Barbados,2012.0,Quintile 4,0.9942,0.19884
20053,BRB,Latin America and the Caribbean,High income countries,Barbados,2012.0,Quintile 5,0.9857,0.19714
20335,BTN,Central and Southern Asia,Lower middle income countries,Bhutan,2010.0,Quintile 1,0.0843,0.01686
20336,BTN,Central and Southern Asia,Lower middle income countries,Bhutan,2010.0,Quintile 2,0.1237,0.02474
20337,BTN,Central and Southern Asia,Lower middle income countries,Bhutan,2010.0,Quintile 3,0.2119,0.04238
20338,BTN,Central and Southern Asia,Lower middle income countries,Bhutan,2010.0,Quintile 4,0.3783,0.07566
20339,BTN,Central and Southern Asia,Lower middle income countries,Bhutan,2010.0,Quintile 5,0.6049,0.12098
21645,CAF,Sub-Saharan Africa,Low income countries,C. A. R.,2010.0,Quintile 1,0.0159,0.00318
21646,CAF,Sub-Saharan Africa,Low income countries,C. A. R.,2010.0,Quintile 2,0.0271,0.0054199999999999995
21647,CAF,Sub-Saharan Africa,Low income countries,C. A. R.,2010.0,Quintile 3,0.0304,0.00608
21648,CAF,Sub-Saharan Africa,Low income countries,C. A. R.,2010.0,Quintile 4,0.1319,0.026379999999999997
21649,CAF,Sub-Saharan Africa,Low income countries,C. A. R.,2010.0,Quintile 5,0.2981,0.05961999999999999
26970,CIV,Sub-Saharan Africa,Lower middle income countries,Côte d'Ivoire,2016.0,Quintile 1,0.0463,0.009260000000000001
26971,CIV,Sub-Saharan Africa,Lower middle income countries,Côte d'Ivoire,2016.0,Quintile 2,0.1044,0.020880000000000003
26972,CIV,Sub-Saharan Africa,Lower middle income countries,Côte d'Ivoire,2016.0,Quintile 3,0.2304,0.046079999999999996
26973,CIV,Sub-Saharan Africa,Lower middle income countries,Côte d'Ivoire,2016.0,Quintile 4,0.2912,0.05824
26974,CIV,Sub-Saharan Africa,Lower middle income countries,Côte d'Ivoire,2016.0,Quintile 5,0.5114,0.10228
31986,COM,Sub-Saharan Africa,Lower middle income countries,Comoros,2012.0,Quintile 1,0.1592,0.03184
31987,COM,Sub-Saharan Africa,Lower middle income countries,Comoros,2012.0,Quintile 2,0.3033,0.060660000000000006
31988,COM,Sub-Saharan Africa,Lower middle income countries,Comoros,2012.0,Quintile 3,0.3942,0.07884
31989,COM,Sub-Saharan Africa,Lower middle income countries,Comoros,2012.0,Quintile 4,0.4773,0.09546
31990,COM,Sub-Saharan Africa,Lower middle income countries,Comoros,2012.0,Quintile 5,0.6004,0.12008
42812,GAB,Sub-Saharan Africa,Upper middle income countries,Gabon,2012.0,Quintile 1,0.0874,0.017480000000000002
42813,GAB,Sub-Saharan Africa,Upper middle income countries,Gabon,2012.0,Quintile 2,0.1933,0.03866
42814,GAB,Sub-Saharan Africa,Upper middle income countries,Gabon,2012.0,Quintile 3,0.2679,0.05358
42815,GAB,Sub-Saharan Africa,Upper middle income countries,Gabon,2012.0,Quintile 4,0.3566,0.07132
42816,GAB,Sub-Saharan Africa,Upper middle income countries,Gabon,2012.0,Quintile 5,0.5603,0.11206
47783,GTM,Latin America and the Caribbean,Upper middle income countries,Guatemala,2015.0,Quintile 1,0.107,0.0214
47784,GTM,Latin America and the Caribbean,Upper middle income countries,Guatemala,2015.0,Quintile 2,0.2142,0.04284
47785,GTM,Latin America and the Caribbean,Upper middle income countries,Guatemala,2015.0,Quintile 3,0.365,0.073
47786,GTM,Latin America and the Caribbean,Upper middle income countries,Guatemala,2015.0,Quintile 4,0.5607,0.11213999999999999
