,iso_code,region_group,income_group,country,year,category,Sex,Location,Wealth,comp_lowsec_1524_m,comp_lowsec_1524_no,literacy_1524_m,literacy_1524_no,rlevel4_m,rlevel2_m
37917,DZA,Northern Africa and Western Asia,Lower middle income countries,Algeria,2015.0,Wealth,,,Quintile 1,,,,,,0.1695
37918,DZA,Northern Africa and Western Asia,Lower middle income countries,Algeria,2015.0,Wealth,,,Quintile 2,,,,,,0.1802
37919,DZA,Northern Africa and Western Asia,Lower middle income countries,Algeria,2015.0,Wealth,,,Quintile 3,,,,,,0.18
37920,DZA,Northern Africa and Western Asia,Lower middle income countries,Algeria,2015.0,Wealth,,,Quintile 4,,,,,,0.2232
37921,DZA,Northern Africa and Western Asia,Lower middle income countries,Algeria,2015.0,Wealth,,,Quintile 5,,,,,,0.2946
125301,VNM,Eastern and South-eastern Asia,Lower middle income countries,Viet Nam,2015.0,Wealth,,,Quintile 1,,,,,0.0862,0.7844
125302,VNM,Eastern and South-eastern Asia,Lower middle income countries,Viet Nam,2015.0,Wealth,,,Quintile 2,,,,,0.097,0.8446
125303,VNM,Eastern and South-eastern Asia,Lower middle income countries,Viet Nam,2015.0,Wealth,,,Quintile 3,,,,,0.1415,0.8477
125304,VNM,Eastern and South-eastern Asia,Lower middle income countries,Viet Nam,2015.0,Wealth,,,Quintile 4,,,,,0.2187,0.8981
125305,VNM,Eastern and South-eastern Asia,Lower middle income countries,Viet Nam,2015.0,Wealth,,,Quintile 5,,,,,0.3922,0.9445
176355,BFA,Sub-Saharan Africa,Low income countries,Burkina Faso,2014.0,Wealth,,,Quintile 1,,,,,,0.5161
176356,BFA,Sub-Saharan Africa,Low income countries,Burkina Faso,2014.0,Wealth,,,Quintile 2,,,,,,0.515
176357,BFA,Sub-Saharan Africa,Low income countries,Burkina Faso,2014.0,Wealth,,,Quintile 3,,,,,,0.5434
176358,BFA,Sub-Saharan Africa,Low income countries,Burkina Faso,2014.0,Wealth,,,Quintile 4,,,,,,0.5586
176359,BFA,Sub-Saharan Africa,Low income countries,Burkina Faso,2014.0,Wealth,,,Quintile 5,,,,,,0.7591
176376,NER,Sub-Saharan Africa,Low income countries,Niger,2014.0,Wealth,,,Quintile 2,,,,,,0.0474
176377,NER,Sub-Saharan Africa,Low income countries,Niger,2014.0,Wealth,,,Quintile 3,,,,,,0.0523
176378,NER,Sub-Saharan Africa,Low income countries,Niger,2014.0,Wealth,,,Quintile 4,,,,,,0.0846
176379,NER,Sub-Saharan Africa,Low income countries,Niger,2014.0,Wealth,,,Quintile 5,,,,,,0.2562
177786,TTO,Latin America and the Caribbean,High income countries,Trinidad/Tobago,2016.0,Wealth,,,Quintile 1,,,,,0.1097,0.6847
177787,TTO,Latin America and the Caribbean,High income countries,Trinidad/Tobago,2016.0,Wealth,,,Quintile 2,,,,,0.1936,0.83
177788,TTO,Latin America and the Caribbean,High income countries,Trinidad/Tobago,2016.0,Wealth,,,Quintile 3,,,,,0.264,0.8526
177789,TTO,Latin America and the Caribbean,High income countries,Trinidad/Tobago,2016.0,Wealth,,,Quintile 4,,,,,0.3474,0.9082
177790,TTO,Latin America and the Caribbean,High income countries,Trinidad/Tobago,2016.0,Wealth,,,Quintile 5,,,,,0.5182,0.9529
180990,BEL,Europe and Northern America,High income countries,Belgium,2018.0,Wealth,,,Quintile 1,,,,,0.106,0.612
180991,BEL,Europe and Northern America,High income countries,Belgium,2018.0,Wealth,,,Quintile 2,,,,,0.1981,0.7306
180992,BEL,Europe and Northern America,High income countries,Belgium,2018.0,Wealth,,,Quintile 3,,,,,0.2746,0.8082
180993,BEL,Europe and Northern America,High income countries,Belgium,2018.0,Wealth,,,Quintile 4,,,,,0.4165,0.8959
180994,BEL,Europe and Northern America,High income countries,Belgium,2018.0,Wealth,,,Quintile 5,,,,,0.5432,0.9362
181005,BLR,Europe and Northern America,Upper middle income countries,Belarus,2018.0,Wealth,,,Quintile 1,,,,,0.0541,0.5409
181006,BLR,Europe and Northern America,Upper middle income countries,Belarus,2018.0,Wealth,,,Quintile 2,,,,,0.1162,0.7069
181007,BLR,Europe and Northern America,Upper middle income countries,Belarus,2018.0,Wealth,,,Quintile 3,,,,,0.179,0.7872
181008,BLR,Europe and Northern America,Upper middle income countries,Belarus,2018.0,Wealth,,,Quintile 4,,,,,0.2624,0.879
181009,BLR,Europe and Northern America,Upper middle income countries,Belarus,2018.0,Wealth,,,Quintile 5,,,,,0.3971,0.9361
181015,BRN,Eastern and South-eastern Asia,High income countries,Brunei Daruss.,2018.0,Wealth,,,Quintile 1,,,,,,0.2772
181016,BRN,Eastern and South-eastern Asia,High income countries,Brunei Daruss.,2018.0,Wealth,,,Quintile 2,,,,,0.031,0.3681
181017,BRN,Eastern and South-eastern Asia,High income countries,Brunei Daruss.,2018.0,Wealth,,,Quintile 3,,,,,0.0494,0.4564
