index_new,iso_code,region_group,income_group,country,year,Wealth,rlevel2_m,rlevel2_m_prop_of_total,rlevel2_m_prop_of_total_sum
55,EST,Europe and Northern America,High income countries,Estonia,2018.0,Quintile 1,0.8391,0.16782,0.8924
56,EST,Europe and Northern America,High income countries,Estonia,2018.0,Quintile 2,0.8505,0.1701,0.8923999999999999
57,EST,Europe and Northern America,High income countries,Estonia,2018.0,Quintile 3,0.9061,0.18122,0.8924
58,EST,Europe and Northern America,High income countries,Estonia,2018.0,Quintile 4,0.9311,0.18622,0.8924000000000001
59,EST,Europe and Northern America,High income countries,Estonia,2018.0,Quintile 5,0.9352,0.18704,0.8924000000000001
85,MAC,Eastern and South-eastern Asia,High income countries,"Macao, China",2018.0,Quintile 1,0.8693,0.17386,0.8917
86,MAC,Eastern and South-eastern Asia,High income countries,"Macao, China",2018.0,Quintile 2,0.8854,0.17708,0.8916999999999999
87,MAC,Eastern and South-eastern Asia,High income countries,"Macao, China",2018.0,Quintile 3,0.8995,0.1799,0.8917
88,MAC,Eastern and South-eastern Asia,High income countries,"Macao, China",2018.0,Quintile 4,0.8845,0.1769,0.8916999999999999
89,MAC,Eastern and South-eastern Asia,High income countries,"Macao, China",2018.0,Quintile 5,0.9198,0.18395999999999998,0.8916999999999999
125,LIE,Europe and Northern America,High income countries,Liechtenstein,2012.0,Quintile 1,0.781,0.1562,0.88216
126,LIE,Europe and Northern America,High income countries,Liechtenstein,2012.0,Quintile 2,0.8748,0.17496,0.8821599999999999
127,LIE,Europe and Northern America,High income countries,Liechtenstein,2012.0,Quintile 3,0.9115,0.1823,0.8821599999999999
128,LIE,Europe and Northern America,High income countries,Liechtenstein,2012.0,Quintile 4,0.8818,0.17636000000000002,0.88216
129,LIE,Europe and Northern America,High income countries,Liechtenstein,2012.0,Quintile 5,0.9617,0.19234,0.88216
5,VNM,Eastern and South-eastern Asia,Lower middle income countries,Viet Nam,2015.0,Quintile 1,0.7844,0.15688,0.8638600000000001
6,VNM,Eastern and South-eastern Asia,Lower middle income countries,Viet Nam,2015.0,Quintile 2,0.8446,0.16892000000000001,0.86386
